Gene Symbol;CMVnull_1;CMVnull_2;CMVnull_3;CMVnull_4;CMVnull_5;GATA6_1;GATA6_2;GATA6_3;GATA6_4;GATA6_5;GATA6_6;GATA6_7
C1QTNF1 ;10.02905;10.28796;10.27644;10.09819;10.11763;10.55048;10.51099;10.56236;10.53292;10.62544;10.30511;10.56555
WFDC5 ;4.720611;4.695772;4.408816;4.349059;4.418005;4.843262;4.669032;5.245924;4.933893;4.774251;4.489324;5.144332
C1orf158 ;4.136816;4.63653;4.144473;4.493507;4.410955;4.623284;4.753489;4.771797;4.849803;4.726421;3.462522;4.432588
MMAB ;8.118383;7.926589;8.059334;7.938396;8.011678;7.509171;7.600717;7.440417;7.53432;7.331973;7.763352;7.696941
OTTHUMG00000160821  // CTD-3074O7.2 ;6.31907;6.098595;6.510769;6.301547;6.459226;5.683346;5.835633;5.774029;5.725002;5.974433;6.333114;6.188135
RDH11 ;8.71162;8.797486;8.747369;8.779162;8.680375;8.295168;8.384394;8.420719;8.243508;8.324312;8.674043;8.207987
KHDRBS3 ;5.848158;5.841628;5.859187;6.132847;5.702524;5.330462;5.22649;5.341842;5.528158;5.457644;5.766388;5.531701
SNORD63 ;11.15389;10.69498;10.84204;10.94291;10.9762;10.62535;10.58717;8.799771;10.7091;10.47931;11.03208;10.43022
TOMM7 ;7.221561;7.199801;7.183644;7.23612;7.091242;6.898222;6.762746;6.802607;6.791746;6.690986;7.310942;6.782778
CENPI ;5.338805;5.515899;5.415349;5.652366;5.192032;5.00501;5.134717;5.099362;5.049244;5.074528;5.954191;4.704106
PRIM2 ;6.509788;6.553517;6.457024;6.744431;6.588356;6.348288;6.20794;6.2661;5.959359;5.98308;6.61839;5.95998
NCF2 ;5.686522;5.703943;5.755938;5.629695;5.625303;5.346257;5.279754;4.909001;5.154177;5.369887;5.571405;5.213959
DTNA ;4.743619;4.942768;5.042186;4.989174;5.020234;4.633193;4.439847;4.553352;4.471089;4.668828;5.213678;4.492687
GSAP ;5.88408;6.066556;5.727127;5.725929;5.536438;5.389625;5.407289;5.426107;5.360923;5.29038;5.942846;5.267967
CXCL6 ;10.53138;10.63528;10.6665;10.67097;10.47208;10.12797;10.21471;10.34941;10.19255;10.03244;10.70473;10.16234
ANXA10 ;6.977583;6.885111;6.812206;7.098245;6.527463;6.457687;6.286066;6.751763;6.258344;6.320336;6.939068;6.256538
UPP1 ;5.521532;5.712303;5.782238;5.423512;5.464788;5.165552;5.078505;5.104316;5.239105;5.323521;5.763182;5.037548
PNKD ;5.985832;5.823237;5.760154;5.795749;5.898816;6.182631;6.194823;6.124385;6.197387;6.299077;5.724373;6.156491
CLK4 ;6.189871;5.861016;5.931437;5.889379;5.600775;6.462238;6.213951;6.605729;6.193656;6.223755;5.749074;6.032922
MBNL3 ;3.993398;4.304996;4.21553;4.516404;4.271008;4.648275;4.562666;4.540478;4.616904;4.549857;3.978299;4.739797
GDA ;4.054999;4.333025;4.31994;4.323916;4.37326;4.310837;4.52197;4.87162;4.95986;4.30993;3.979217;5.124802
ETV1 ;6.001507;5.747147;5.648536;5.842052;5.527345;6.032393;6.057443;6.535298;6.111225;6.212368;5.98;6.270998
CASP10 ;5.77812;5.837406;5.697447;5.876859;5.883907;6.293824;6.129138;6.285365;6.02661;5.983;5.608862;6.268617
TERF1 ;7.295747;7.391161;7.158497;7.364578;7.367572;7.69205;7.730076;7.881785;7.599807;7.56818;7.213126;7.577905
PPP1R14A ;5.730851;5.886035;5.918051;6.013802;6.187499;6.520787;6.161593;6.391044;6.234524;6.091138;5.572742;6.400754
KIDINS220 ;8.063277;8.073062;8.1406;8.036071;8.108004;8.349404;8.432106;8.552441;8.392233;8.379844;7.981656;8.431416
FAS ;8.32313;8.53406;8.463814;8.509598;8.400574;8.775257;8.734091;9.166428;8.738911;8.710465;8.369309;8.810658
TRBV7-6 ;5.325632;5.88639;5.830572;5.497739;5.955513;6.542035;6.208862;5.875974;5.89539;5.978775;5.701235;6.385442
FBXO6 ;5.294547;4.996084;5.074539;5.081712;5.034696;5.699345;5.498945;5.433805;5.428959;5.31019;4.960395;5.382956
ATAD2B ;5.708211;5.889846;5.838387;5.78219;5.689326;6.199008;6.317204;6.464047;5.822399;6.286228;5.810959;6.061201
HNRNPU-AS1 ;5.819867;5.333829;5.346521;5.657274;5.162072;5.831142;5.876847;5.857158;5.842269;5.951583;5.436513;5.842294
EBF3 ;7.098632;7.29542;7.187007;7.129519;6.98752;6.926991;6.683153;6.570014;6.658282;6.585684;7.029594;6.639882
LOC654342 ;10.84863;10.73392;10.8548;10.76345;10.68398;10.4898;10.38477;10.25433;10.3704;10.26094;10.83366;10.42106
MIR31HG ;9.655629;9.801146;9.837894;9.72993;9.751445;9.433851;9.328274;9.310722;9.342408;9.320668;9.668517;9.198318
C8orf4 ;8.041702;8.110465;8.088974;8.383754;8.096846;7.704271;7.706595;7.935021;7.708116;7.48189;8.226638;7.705186
SNAR-E ;10.45717;10.33974;10.36567;10.65237;10.32125;9.945839;10.47631;9.374463;9.982049;9.979921;10.64648;9.882702
ASPN ;9.003654;8.652241;8.981834;8.876113;8.923706;8.723112;8.375254;8.371338;8.429003;8.350879;8.740812;8.111471
KRT23 ;5.186833;5.201325;5.441848;5.206392;5.246819;4.519867;4.73569;5.009148;4.681753;4.681753;5.170657;5.038143
SLC7A2 ;7.774287;8.144447;7.903283;7.901382;7.523466;7.547925;7.451776;7.603322;7.412589;7.363971;8.22279;7.135096
ABLIM3 ;6.909032;7.143585;7.033199;7.033288;6.840824;6.706526;6.40435;6.530099;6.590317;6.647041;7.092319;6.563129
BTG3 ;7.325962;7.436421;7.45159;7.233993;7.343956;6.82334;6.864181;7.088912;6.765948;7.078259;7.379688;6.935981
NF2 ;9.163123;9.143062;9.068696;9.180074;9.121258;8.757887;8.854976;8.750314;8.656701;8.700172;9.131945;8.620798
IER5L ;7.558019;7.352638;7.217944;7.081284;7.155828;6.871845;6.716895;6.837385;6.744;6.833426;7.052485;6.693241
SLC25A32 ;9.428663;9.545544;9.45429;9.5573;9.390731;9.122256;9.080187;9.144613;8.931383;9.054228;9.472079;9.032841
BDKRB2 ;6.629663;6.412729;6.602759;6.601454;6.573926;6.027393;6.201251;5.900203;6.308607;6.252935;6.655851;6.137681
LINC00704 ;4.796117;5.313966;5.167628;5.018788;5.153695;4.719865;4.622556;4.214079;4.791996;4.461751;5.085954;4.816997
VAT1L ;6.549645;6.61537;6.401231;6.356724;6.397254;6.828926;6.975733;6.779285;6.851636;6.827435;6.621058;6.87015
ADAR ;8.743515;8.830688;8.811008;8.826012;8.763498;9.297209;9.326649;9.09216;9.062949;9.244577;8.831677;8.989899
ARRB1 ;6.419806;6.753246;6.79787;6.850476;6.779695;6.937083;7.005372;7.148822;7.057096;7.342074;6.622808;7.073699
SUFU ;6.885396;7.033977;6.893526;6.862588;6.893526;7.477837;7.23857;7.172223;7.245229;7.41507;6.746595;7.049368
FAM210B ;7.67364;7.775701;7.688555;7.564947;7.634192;7.963309;8.017347;8.226959;7.913152;7.966162;7.38311;7.911102
ZNF667 ;5.502974;5.382149;5.508669;5.370181;5.76757;5.868371;5.848679;5.783807;5.810822;5.928314;5.30806;5.865726
FAM179B ;6.680231;6.669994;6.672094;6.509725;6.586078;6.965299;7.04325;7.223621;7.027912;7.039606;6.823981;6.877
PSMB9 ;5.506327;5.751726;5.676242;5.556358;5.557483;6.227802;6.275213;5.872925;6.210414;5.780217;5.744215;5.846958
SPATS2L ;6.854071;6.90173;6.874516;6.868425;6.886017;7.317261;7.18672;7.614365;7.160912;7.183986;6.896947;7.117395
C4B ;5.095668;5.3015;5.38758;5.396722;5.28948;5.603478;5.887622;5.378696;5.712677;5.664926;5.05775;5.649524
C11orf30 ;7.003463;7.05956;6.744032;6.939623;6.7256;7.378963;7.107566;7.695392;6.990757;7.294695;6.748398;7.25024
RPAP2 ;7.521086;7.314824;7.297073;7.395553;7.163087;7.856952;7.654892;7.928897;7.480353;7.653734;7.238638;7.693925
HNRNPC ;6.880721;6.971445;7.142768;6.976762;6.967679;7.449197;7.32026;7.309268;7.386168;7.504776;7.278083;7.527916
ANKRD10 ;6.939606;6.768048;6.678568;6.667326;6.490644;7.154015;6.977956;7.227461;7.185148;7.274537;7.041399;7.147653
TNXB ;5.005224;5.13197;5.188605;5.28805;5.2421;5.539932;5.524325;5.521347;5.462826;5.441019;5.109372;5.673471
APOBEC3F ;5.605889;5.390964;5.564022;5.817509;5.663852;5.89645;5.943113;5.972381;6.318208;6.097202;5.980985;6.274836
LOC80154 ;7.863452;7.929837;7.732251;7.856736;7.64493;8.182453;8.249049;8.268043;8.242268;8.185556;7.904066;8.025947
YRDC ;9.048714;9.073011;9.103747;9.048793;9.00505;8.641949;8.706507;8.632277;8.691301;8.730381;9.14889;8.628107
PANK3 ;9.793219;9.812226;9.974857;9.739632;9.760572;9.404623;9.395667;9.528404;9.281976;9.420547;9.880948;9.41733
PTGIR ;8.294242;7.918549;7.972525;7.989233;8.160595;7.668256;7.587318;7.193351;7.681551;7.681319;7.845249;7.562863
SNAR-C1 ;10.13555;10.11765;10.06091;10.2097;10.02081;9.798543;10.01105;9.106939;9.672885;9.683498;10.40748;9.696836
SNAR-C1 ;10.13555;10.11765;10.06091;10.2097;10.02081;9.798543;10.01105;9.106939;9.672885;9.683498;10.40748;9.696836
PAK3 ;5.704114;6.094006;5.792279;5.862246;5.678541;5.434779;5.514307;5.615451;5.297297;5.17521;5.76667;5.017462
RMND1 ;8.445545;8.457032;8.490456;8.416466;8.424825;8.212413;8.083731;7.894746;7.94783;8.151423;8.515834;7.909597
SGCD ;4.680442;4.608454;4.88839;4.641929;4.370848;4.219431;4.077197;4.121816;4.280277;3.879063;4.653639;4.454091
TMEM251 ;5.873755;5.867449;5.869771;5.754974;5.955823;5.461721;5.530478;5.269032;5.433552;5.496396;5.678379;5.205911
FNDC3A ;9.962612;10.01173;9.997124;10.03653;9.905936;9.565508;9.582048;9.678532;9.396156;9.617167;9.988141;9.596582
OTTHUMG00000008492  // RP11-269F19.4 ;6.371182;6.485962;6.457248;6.500235;6.291913;5.914556;5.625082;5.667462;6.337373;6.003172;6.342549;6.048617
NEDD4L ;7.145236;7.165349;7.187471;7.199817;7.080362;6.716236;6.708678;7.075456;6.583028;6.773028;7.276934;6.505315
LOC388152 ;7.797304;7.892105;7.853506;7.802174;7.846099;8.240095;8.231052;8.225076;8.259256;8.145346;7.878346;8.051886
TMEM141 ;6.940266;7.293752;6.884436;6.948471;7.224731;7.484673;7.4625;7.215421;7.556794;7.42248;6.996511;7.455163
FAM46A ;6.810076;6.824988;6.895981;6.770074;6.926023;7.248574;7.172221;7.150251;7.143861;7.21003;6.636925;7.082117
REV3L ;8.026262;7.87023;7.835883;7.887492;7.785136;8.238939;8.308246;8.308319;8.213135;8.253413;7.976927;8.176193
NCOA4 ;9.927121;10.09155;10.07261;10.01105;10.0233;10.40445;10.27701;10.80434;10.30747;10.29799;10.03838;10.38897
NFATC3 ;7.206217;7.00476;7.070265;7.117861;6.99243;7.460896;7.484238;7.731598;7.262297;7.560694;7.216739;7.385654
DDR1 ;6.956202;7.045794;7.036617;6.899344;7.089392;7.310679;7.322652;7.589183;7.25857;7.533545;7.109852;7.347405
ZNF592 ;7.618004;7.452621;7.473695;7.510324;7.52141;8.038468;7.966784;7.92784;7.86563;7.95116;7.819503;7.863108
OSBP ;8.82222;8.85973;8.880153;8.817516;8.787469;9.228449;9.228074;9.150322;9.180771;9.284185;8.916803;9.094772
LTBP3 ;8.229512;8.040664;8.062311;8.032814;7.877797;8.478454;8.33597;8.392967;8.370326;8.413494;7.94601;8.372578
GTF3C1 ;7.914574;7.918922;7.911868;7.982014;7.879912;8.322035;8.339894;8.198358;8.242262;8.430658;8.030238;8.228847
CXCL2 ;6.824244;6.828816;6.97368;6.933406;6.899273;7.173852;7.262986;7.287526;7.371395;7.500788;7.111594;7.210826
GRAMD1A ;8.674667;8.651508;8.703104;8.759127;8.816374;9.017184;9.113227;9.025699;9.048459;9.087998;8.747473;9.136043
PHC3 ;7.430926;7.27494;7.178725;7.23774;7.192985;7.590281;7.597009;7.951823;7.507169;7.665679;7.218109;7.514335
TRIM8 ;8.855695;9.057222;8.981747;8.961836;8.975174;9.309725;9.387782;9.264428;9.275488;9.360206;8.891926;9.232244
TYW3 ;5.875147;5.692711;5.792714;6.041674;5.806221;5.530607;5.134102;5.684506;5.095225;5.46073;5.788214;5.283127
TNK2 ;6.710642;6.486483;6.523516;6.582932;6.586572;6.273676;6.1531;6.142448;6.269968;6.244986;6.763941;6.024429
SNORA13 ;7.077031;6.527246;6.907115;6.865878;6.509918;6.705442;6.541505;5.742099;6.328925;6.351661;7.038469;6.093999
NFIL3 ;7.76682;7.763363;7.951055;7.717043;7.898306;7.444417;7.425384;7.269249;7.286336;7.47052;7.61472;7.245244
CHST6 ;7.545406;7.91226;7.628157;7.839329;7.827332;7.268929;7.393075;7.278894;7.32103;7.278958;7.784148;7.432827
RFTN2 ;5.778349;5.510777;5.640853;5.546515;5.779647;5.485595;5.290574;5.08151;4.976684;5.291374;5.937545;5.31188
ZBTB38 ;6.824466;6.959309;7.000693;7.045376;6.96943;6.565157;6.436339;6.556026;6.52719;6.738004;6.970224;6.441023
MED13 ;8.94514;8.876307;8.855726;8.932578;8.773583;9.211638;9.237979;9.414575;9.072935;9.298427;8.977844;9.270845
DDIT4L ;6.753827;6.680237;7.182796;6.642731;6.821486;7.248013;7.22745;7.244804;7.190718;7.241778;6.741358;6.982047
DCHS1 ;4.706787;5.167762;5.098451;4.750831;4.921326;5.216425;5.586155;5.142941;5.287611;5.301536;5.025822;5.512029
RNF5 ;7.718013;7.713605;7.679281;7.732337;7.723742;8.060331;8.034661;7.92437;7.989407;8.0611;7.615886;8.195086
OTTHUMG00000161245  // RP11-554D13.1 ;4.420607;4.441744;4.117673;4.395566;4.155488;4.564395;4.554626;5.057952;4.586758;5.018489;4.580543;4.779707
HSDL2 ;8.609941;8.622581;8.672785;8.714631;8.605487;9.061962;8.925098;9.504057;8.873351;9.013657;8.598525;8.820052
LOC90246 ;5.978136;5.55286;5.807655;5.803187;5.671603;6.187493;6.300872;6.257183;6.057188;6.075973;5.601218;5.860815
USP22 ;9.936564;9.998146;9.830273;9.875305;9.931309;10.25044;10.27938;10.14202;10.27583;10.32313;9.915062;10.27143
EIF4E3 ;5.92008;5.859709;5.811204;5.76629;5.895882;6.11049;6.261506;6.003468;6.250977;6.234379;5.803838;6.358403
TXLNG2P ;6.563538;6.433555;6.210505;6.243517;6.040347;6.941073;6.590589;6.796055;6.57806;6.631795;6.254272;6.561085
ZNF641 ;4.773098;5.397871;5.051709;5.222492;5.354032;5.697029;5.406367;5.665291;5.48719;5.584302;5.233208;5.575928
ZNF79 ;6.116862;6.022409;6.509145;6.491081;6.36592;6.839754;6.600839;6.594434;6.856438;6.832707;5.901452;6.247381
TNPO1 ;9.965515;10.09261;10.0712;10.04851;9.877878;10.31709;10.35875;10.64654;10.27604;10.3416;10.05564;10.36672
CCDC169-SOHLH2 ;4.140557;4.288977;3.756076;4.214396;4.190504;4.333337;4.559235;4.534504;4.299174;4.629471;3.648111;4.358807
CISD1 ;5.796251;5.747884;5.597404;5.818089;5.668943;6.004668;6.136364;6.317994;6.068993;6.125367;5.729772;5.911929
IL13RA1 ;10.37881;10.48463;10.53275;10.40767;10.35286;10.81336;10.72686;10.7418;10.78113;10.75254;10.46695;10.87877
SOCS3 ;6.260103;6.682575;6.430848;6.352395;6.538664;7.065904;7.006501;6.928341;6.628581;7.082628;6.575953;6.559709
XRCC1 ;8.855187;9.052528;8.90901;8.883868;8.931662;9.253803;9.169737;9.550683;9.303432;9.21722;8.917022;9.248776
CD55 ;9.578884;9.587304;9.576481;9.544307;9.518912;9.841526;9.91394;9.984057;9.87867;9.926458;9.61029;9.887995
MUC22 ;4.376564;4.461127;4.941179;4.868605;4.722112;5.017557;5.184128;5.083908;4.942904;5.27472;4.808531;5.074212
IL1R2 ;4.831528;4.60712;4.687125;4.562633;4.524505;5.028863;4.884049;5.157654;5.043691;5.073547;4.673349;4.896297
VPS13B ;7.431875;7.226033;7.314389;7.329435;7.188059;7.74606;7.703809;7.687735;7.552751;7.892051;7.418667;7.54579
TVP23C-CDRT4 ;4.960126;5.10054;5.049192;4.889218;5.211435;5.652167;5.268431;5.514902;5.382341;5.462859;5.161669;5.350303
UQCRHL ;8.744134;8.864421;8.830208;8.900942;8.795131;8.532909;8.58335;8.111019;8.246231;8.337603;8.758366;8.455619
KRTAP6-2 ;5.43715;5.365934;5.873633;5.471089;5.784332;5.151229;4.925256;5.047385;5.331754;4.483832;5.568658;5.468155
DRAM1 ;8.989464;9.044736;9.116282;9.006466;8.96187;8.709536;8.605364;8.711151;8.596593;8.575028;9.075439;8.611616
TMEM126A ;7.823765;7.540665;7.508845;7.885404;7.513258;7.514261;7.332818;6.758067;7.08925;7.141613;7.571807;7.131232
NEK7 ;10.23012;10.11375;10.14574;10.08095;10.13515;9.782624;9.649719;9.849449;9.726208;9.735589;10.04513;9.516578
CCT2 ;9.211413;9.204778;9.218434;9.271325;9.089805;8.812607;8.768154;8.942745;8.726712;8.755663;9.175733;8.74932
CCDC58 ;5.870345;6.001639;5.956869;5.945858;5.998116;5.731375;5.461174;5.70627;5.391718;5.610813;6.107186;5.404791
ANO3 ;5.069234;4.952826;4.931452;4.937625;5.069967;4.419098;4.908935;4.169952;4.402486;4.686935;4.84706;4.421342
RFX8 ;5.40621;5.289741;5.745136;5.554709;5.128605;4.939199;5.313573;5.10579;5.024329;5.03026;5.93732;4.628706
DBI ;6.745396;6.716818;6.855813;6.884655;6.691689;6.273766;6.324618;6.412357;6.285414;6.251145;6.763389;6.59158
ADAMTS5 ;4.842462;4.661901;4.94694;4.974359;4.93483;4.579275;4.485104;4.292117;4.373066;4.248433;4.741481;4.530497
CPPED1 ;6.759867;7.055533;7.155694;7.121746;6.764312;7.240609;7.354229;7.500336;7.325366;7.485417;7.115651;7.329132
AHR ;9.744094;9.926635;9.867875;9.850997;9.783577;10.10016;10.1294;10.58935;10.04335;10.1668;9.76;10.16712
GLCE ;7.654068;7.59373;7.457337;7.483009;7.647026;8.014743;7.846628;8.192835;7.76152;7.952008;7.494975;7.781893
WBP1L ;8.882766;8.989192;8.850351;8.862362;9.107348;9.269938;9.298075;9.407096;9.233884;9.253002;8.831761;9.179524
TAPBP ;8.559268;8.564497;8.471749;8.324909;8.362185;8.833703;8.852896;8.726803;8.775619;8.891;8.529705;8.825428
TMEM200A ;6.639613;6.810968;6.7321;6.840276;6.771632;7.101262;7.314335;7.128139;7.097984;7.137341;6.780164;6.931551
FERMT3 ;5.522665;5.927383;5.450809;5.647959;5.442809;5.952548;6.075546;5.892337;5.97324;6.305431;5.751245;5.882832
DDIT3 ;5.515671;5.24289;5.30595;5.577515;5.324428;5.860612;6.2932;5.527446;5.740827;5.821475;5.296157;5.49326
A4GALT ;5.435251;5.804433;5.798189;5.758985;5.857614;5.787208;6.132321;6.218785;6.032555;6.215903;5.592256;6.166236
EFNA4 ;6.936465;6.92728;6.769267;6.904418;6.736665;7.396451;7.028658;7.212516;7.107028;7.221002;6.823098;7.299325
ZEB2 ;5.55514;5.516832;5.562946;5.501917;5.413256;5.800113;5.834583;6.205963;5.708164;5.931418;5.534481;5.819908
KLHL5 ;8.513147;8.648634;8.618134;8.660527;8.557364;8.948128;8.902924;8.945498;8.966702;8.969032;8.627638;8.890076
PYGO1 ;6.477795;6.155931;6.19621;6.197708;6.326536;6.870868;6.500715;6.676995;6.416283;6.700341;6.250052;6.690419
FKBP1B ;5.794415;6.225094;5.856018;6.189607;6.035091;5.942092;6.349601;6.576795;6.411187;6.360497;5.371894;6.426982
UBE2H ;8.108136;8.065262;8.086186;8.024594;8.002718;8.426311;8.417598;8.395998;8.208395;8.372232;7.932468;8.489252
CUL4B ;8.490005;8.388794;8.453098;8.554044;8.493007;8.786685;8.772386;9.068665;8.728358;8.810521;8.359748;8.72486
ZNF737 ;5.953659;5.628073;6.087433;5.82259;5.810842;6.345207;6.090296;6.491996;5.918522;6.106987;5.604308;6.366456
CUBN ;4.912648;5.023159;4.946815;4.622066;5.047445;5.169895;5.359544;5.126871;5.158957;5.41927;4.778001;5.362322
LOC100507144 ;4.166384;4.486653;4.100906;4.508632;4.305659;4.975473;4.325943;4.78213;4.498618;4.937584;4.341156;4.8498
HIST2H2BE ;7.048707;6.760944;6.922875;6.907393;6.702199;7.195724;7.298882;7.301509;7.017711;7.403916;6.58562;7.025861
FN3K ;5.500616;5.482867;5.544601;5.19362;5.554216;5.73559;6.017632;5.883652;5.928182;5.576566;5.26581;5.703537
BCORL1 ;5.67644;5.571935;5.596154;5.834775;5.705921;6.163896;6.357613;6.053014;5.801631;6.215116;5.911374;6.023544
HEATR6 ;7.753083;7.673506;7.627177;7.718002;7.555054;8.049812;8.096346;8.088245;8.016144;7.994755;7.637578;7.827518
MDM4 ;7.306772;7.366499;7.224349;7.262661;7.051251;7.756786;7.72626;7.730742;7.430487;7.614419;7.349545;7.51507
MOB3A ;10.39613;10.48524;10.43709;10.32406;10.35935;10.63438;10.78155;10.94073;10.74102;10.81252;10.4796;10.68792
MAN2B1 ;8.492126;8.448613;8.475894;8.379738;8.557371;8.905235;8.910465;8.543771;8.75186;8.964589;8.325524;8.813967
HS3ST3A1 ;6.591936;6.833571;6.468823;6.588944;6.653929;6.885955;7.005594;6.930063;6.903668;7.203624;6.63346;7.043053
OSMR ;10.21303;10.12721;10.10094;10.03609;10.06822;10.52294;10.48748;10.52528;10.33321;10.47192;10.22697;10.51567
PHF16 ;5.746737;6.017704;5.756306;5.722879;5.639366;6.250204;6.131637;6.401311;6.017695;5.984791;5.853281;6.223913
NDST2 ;7.035369;7.065822;7.076775;7.11262;7.119171;7.456342;7.426747;7.296936;7.375665;7.516729;7.066968;7.445361
OTTHUMG00000017792  // RP11-275N1.1 ;3.91637;4.933498;4.670989;4.68327;5.002879;4.951059;5.115314;4.901087;5.082022;4.856967;4.183488;5.230867
FAIM2 ;5.91394;6.048552;6.158796;6.170891;6.087989;6.371753;6.458326;6.502889;6.300247;6.333583;5.656816;6.35572
LOC100507459 ;5.461823;5.557212;5.780467;5.860681;5.535885;5.832666;5.974328;6.050285;6.10544;6.183191;5.559093;5.887786
ZNF580 ;6.88829;6.929839;6.725254;6.893358;6.855858;7.216424;7.327658;7.251457;7.154178;7.070975;6.776853;7.161374
PALM2-AKAP2 ;6.474393;6.49882;6.601375;6.627962;6.509903;6.255953;6.127079;6.075068;6.064524;6.232615;6.683256;6.197458
FOXL1 ;6.620873;6.661681;6.556807;6.528565;6.38287;6.151029;6.115528;6.420729;5.78188;6.347551;6.72056;5.843773
FOXD1 ;7.730483;7.634913;7.596381;7.74097;7.48343;7.110672;7.37501;7.176426;7.179883;7.276623;7.605219;7.195693
ACSL4 ;6.560076;6.985765;6.815778;6.795016;6.44624;6.27554;6.34945;6.391782;6.225049;6.017098;6.595169;6.230348
DSG2 ;6.569371;6.684517;6.637421;6.521426;6.530551;6.263684;6.054811;6.438004;6.029143;6.136228;6.480719;5.82739
C19orf70 ;7.148199;7.247474;7.418168;7.421819;7.369776;6.919852;7.066238;6.543016;6.897015;7.133374;7.453011;6.783099
RPS15A ;8.01659;8.040578;7.98586;8.174647;8.254676;7.804961;7.805119;7.666091;7.720108;7.651031;8.24254;7.550406
TMEM154 ;6.98595;7.17391;6.949;7.131786;6.665048;6.594097;6.345512;6.640747;6.685428;6.556074;6.891741;6.243421
H2AFZ ;6.754488;6.579356;6.753684;6.788759;6.559035;6.255215;6.276896;6.281295;6.30477;6.342828;6.774618;6.33571
PAPPA-AS1 ;8.675744;8.446232;8.686672;8.54879;8.432209;8.122116;8.229431;7.652908;8.178792;8.208249;8.498785;8.18416
PDLIM2 ;7.131581;6.937267;6.949311;6.89082;7.198634;6.638031;6.561095;6.478726;6.757066;6.560033;7.053019;6.655689
TMEM31 ;4.591255;4.573525;4.969751;4.687397;4.760233;3.910427;4.50201;3.765461;4.292744;4.204088;4.586688;4.555347
MYH15 ;6.462945;6.450676;6.523599;6.36826;6.368321;6.167692;5.920108;6.095882;6.048363;6.073691;6.445061;5.859398
ALYREF ;6.800999;6.647287;6.696878;6.824157;6.605054;6.35115;6.380397;6.053927;6.288951;6.535904;6.764886;6.134342
SNAR-D ;7.882685;7.809652;7.843737;7.995993;7.790907;7.545968;7.87655;6.785607;7.483129;7.415173;7.989574;7.220174
PDE4D ;4.809989;5.040147;4.86389;4.703019;4.696749;4.408659;4.431056;4.348524;4.425213;4.684313;5.004792;4.178372
GTF3C3 ;8.226465;8.417695;8.4133;8.618249;8.342641;8.096157;7.919178;8.044759;7.970187;7.991426;8.40056;7.91523
CCL13 ;5.81084;5.673277;5.842871;5.304458;5.475445;5.197929;5.390943;5.497697;5.0494;4.45728;5.417854;4.792365
SIM2 ;8.579311;8.721167;8.585532;8.57299;8.486152;8.11384;8.094688;8.417089;8.197842;8.271626;8.680861;7.995674
FTSJD2 ;6.708446;6.566597;6.638624;6.756765;6.67518;7.121355;7.201894;6.964089;6.899254;6.957004;6.634605;6.935407
GAB1 ;5.656758;5.719559;5.723962;5.66796;5.431113;6.103935;5.94097;6.208121;5.846817;5.903618;5.708052;6.078864
CYB561 ;5.548143;5.147173;5.122579;5.36918;5.255647;5.839951;5.883868;5.424117;5.727763;5.578627;5.604098;5.975986
IGHG1 ;4.327018;4.180471;4.050466;4.918794;4.303409;4.785108;4.62733;5.139003;4.742324;4.812585;4.506323;4.685397
KCTD2 ;7.431823;7.403028;7.338242;7.204303;7.315048;7.683699;7.669516;7.597441;7.671436;7.662499;7.246763;7.674623
CHRNA5 ;4.28519;4.13292;3.935928;4.768619;4.614349;5.010623;4.505092;5.132249;4.78329;5.001614;4.702075;4.632348
MLXIP ;7.38183;7.60184;7.446231;7.471751;7.346185;7.756577;7.860173;7.992538;7.694492;7.926763;7.609829;7.769271
TCN2 ;5.53279;5.174909;5.568656;5.506325;5.64582;5.826243;5.853245;5.858538;5.825353;5.73576;5.383688;5.889153
UBA7 ;6.580014;6.601214;6.317824;6.602081;6.760072;7.112788;7.131312;6.86985;6.940109;6.939278;6.409095;6.59551
SERPINE2 ;10.32106;10.32966;10.32549;10.34095;10.36253;10.66678;10.62207;10.69933;10.57957;10.68037;10.31296;10.68735
PLK1 ;6.612428;6.645568;6.601306;6.58308;6.508195;6.931257;7.063592;7.015701;7.007401;6.988376;6.659636;6.711941
WSB1 ;10.56766;10.6555;10.59915;10.63907;10.29646;11.06501;11.01592;10.96853;10.99693;10.8492;10.67925;10.7417
ID1 ;8.582155;8.454205;8.480608;8.625483;8.650249;8.88359;9.045316;8.647823;8.931413;8.93808;8.403082;8.913356
GCLC ;6.141011;5.9936;6.23281;6.266017;6.246606;6.473322;6.486595;6.552045;6.456496;6.489596;6.116929;6.616559
EVI5 ;8.411654;8.419394;8.371251;8.575338;8.223783;8.721757;8.599525;9.043298;8.656678;8.877586;8.361835;8.692673
SOX4 ;8.865589;8.996561;9.035081;8.976528;8.965429;9.285054;9.230284;9.489872;9.286485;9.326976;9.026134;9.302958
CMBL ;6.688217;6.811753;6.714959;6.848998;6.766806;7.124298;7.058072;7.182292;7.125639;7.068447;6.763622;7.039709
LOC100130027 ;4.924403;5.010191;4.590924;4.872933;4.768712;5.493353;5.519633;4.813242;5.220768;5.166308;4.817198;5.181852
NTNG2 ;6.238005;6.400758;5.814975;6.375045;6.310348;6.482307;6.707501;6.53924;6.546287;6.641627;6.186303;6.704701
CCR10 ;4.643389;4.419435;4.51371;4.370618;4.616462;5.394486;5.011195;4.512141;4.967526;4.766164;4.370618;4.749811
